col_letter_in_csv,address
CW,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095390&tclass5val=0
CX,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802&stat_infid=000031790697&tclass3val=0
CY,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802&stat_infid=000031790697&tclass3val=0
CZ,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802&stat_infid=000031790697&tclass3val=0
DA,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802&stat_infid=000031790697&tclass3val=0
DB,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0
DC,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
DD,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0
DE,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
DF,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
DG,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
DH,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
DI,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
DJ,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
DK,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
DL,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
DM,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
DN,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
DO,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
DP,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
DQ,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
DR,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
DS,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
DT,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
DU,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
DV,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
DW,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
DX,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
DY,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
DZ,https://www.e-stat.go.jp/stat-search/files?page=1&query=%E5%93%81%E7%9B%AE%E5%88%86%E9%A1%9E%E3%80%80%E7%AC%AC11%E8%A1%A8&layout=dataset&stat_infid=000032048960&file_type=0
EA,https://www.e-stat.go.jp/stat-search/files?page=1&query=%E5%93%81%E7%9B%AE%E5%88%86%E9%A1%9E%E3%80%80%E7%AC%AC11%E8%A1%A8&layout=dataset&stat_infid=000032048960&file_type=0
EB,https://www.e-stat.go.jp/stat-search/files?page=1&query=%E5%93%81%E7%9B%AE%E5%88%86%E9%A1%9E%E3%80%80%E7%AC%AC11%E8%A1%A8&layout=dataset&stat_infid=000032048960&file_type=0
EC,https://www.e-stat.go.jp/stat-search/files?page=1&query=%E5%93%81%E7%9B%AE%E5%88%86%E9%A1%9E%E3%80%80%E7%AC%AC11%E8%A1%A8&layout=dataset&stat_infid=000032048960&file_type=0
ED,https://www.e-stat.go.jp/stat-search/files?page=1&query=%E5%93%81%E7%9B%AE%E5%88%86%E9%A1%9E%E3%80%80%E7%AC%AC11%E8%A1%A8&layout=dataset&stat_infid=000032048960&file_type=0
EE,https://www.e-stat.go.jp/stat-search/files?page=1&query=%E5%93%81%E7%9B%AE%E5%88%86%E9%A1%9E%E3%80%80%E7%AC%AC11%E8%A1%A8&layout=dataset&stat_infid=000032048960&file_type=0
EF,https://www.stat.go.jp/data/jyutaku/2018/pdf/kouzou_gaiyou.pdf
EG,https://www.stat.go.jp/data/jyutaku/2018/pdf/kouzou_gaiyou.pdf
EH,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001133983&tclass2=000001133985&stat_infid=000031904792&tclass3val=0
EI,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001133983&tclass2=000001133985&stat_infid=000031904792&tclass3val=0
EJ,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001133983&tclass2=000001133985&stat_infid=000031904792&tclass3val=0
EK,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r01/year.html
EL,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r01/year.html
EM,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200561&tstat=000000330001&cycle=7&year=20180&month=0&tclass1=000000330001&tclass2=000000330019&tclass3=000000330020&result_back=1&tclass4val=0
EN,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200561&tstat=000000330001&cycle=7&year=20190&month=0&tclass1=000000330001&tclass2=000000330019&tclass3=000000330020&result_back=1&tclass4val=0
EO,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200561&tstat=000000330001&cycle=7&year=20200&month=0&tclass1=000000330001&tclass2=000000330019&tclass3=000000330020&result_back=1&tclass4val=0
EP,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200561&tstat=000000330001&cycle=7&year=20180&month=0&tclass1=000000330001&tclass2=000000330019&tclass3=000000330020&result_back=1&tclass4val=0
EQ,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200561&tstat=000000330001&cycle=7&year=20180&month=0&tclass1=000000330001&tclass2=000000330019&tclass3=000000330020&result_back=1&tclass4val=0
ER,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200561&tstat=000000330001&cycle=7&year=20190&month=0&tclass1=000000330001&tclass2=000000330019&tclass3=000000330020&result_back=1&tclass4val=0
ES,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200561&tstat=000000330001&cycle=7&year=20200&month=0&tclass1=000000330001&tclass2=000000330019&tclass3=000000330020&result_back=1&tclass4val=0
ET,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200561&tstat=000000330001&cycle=7&year=20180&month=0&tclass1=000000330001&tclass2=000000330019&tclass3=000000330020&result_back=1&tclass4val=0
EU,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200561&tstat=000000330001&cycle=7&year=20180&month=0&tclass1=000000330001&tclass2=000000330019&tclass3=000000330020&result_back=1&tclass4val=0
EV,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200561&tstat=000000330001&cycle=7&year=20190&month=0&tclass1=000000330001&tclass2=000000330019&tclass3=000000330020&result_back=1&tclass4val=0
EW,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200561&tstat=000000330001&cycle=7&year=20200&month=0&tclass1=000000330001&tclass2=000000330019&tclass3=000000330020&result_back=1&tclass4val=0
EX,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200561&tstat=000000330001&cycle=7&year=20180&month=0&tclass1=000000330001&tclass2=000000330019&tclass3=000000330020&result_back=1&tclass4val=0
EY,https://www.nier.go.jp/19chousakekkahoukoku/factsheet/19prefecture-City/
EZ,https://www.nier.go.jp/19chousakekkahoukoku/factsheet/19prefecture-City/
FA,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802&tclass3val=0
FB,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802&tclass3val=0
FC,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802&tclass3val=0
FD,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802&tclass3val=0
FE,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802&tclass3val=0
FF,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802&tclass3val=0
FG,https://www.e-stat.go.jp/stat-search/files?page=1&query=%E3%82%B8%E3%83%8B%E4%BF%82%E6%95%B0&layout=dataset&toukei=00200564&tstat=000001073908&stat_infid=000031442086&metadata=1&data=1
FH,https://www.e-stat.go.jp/stat-search/files?page=1&query=%E3%82%B8%E3%83%8B%E4%BF%82%E6%95%B0&layout=dataset&toukei=00200564&tstat=000001073908&stat_infid=000031442086&metadata=1&data=1
FI,https://www.mhlw.go.jp/bunya/kenkou/eiyou/dl/h28-houkoku-07.pdf
FJ,https://www.mhlw.go.jp/bunya/kenkou/eiyou/dl/h28-houkoku-07.pdf
FK,https://www.mhlw.go.jp/bunya/kenkou/eiyou/dl/h28-houkoku-07.pdf
FL,https://www.mhlw.go.jp/bunya/kenkou/eiyou/dl/h28-houkoku-07.pdf
